Tiempo_s,TorqueSolicitado_Nm,TorqueMotor_Nm,VelocidadMotor_rpm,VelocidadAngular_rad_s,PotenciaMecanica_kW,PotenciaElectrica_kW,CorrienteDC_A,Eficiencia_pct,PotenciaRegenerativa_kW,Perdidas_kW
35.5,177.75,177.75,7550,790.634151153431,140.535220367522,152.755674312524,429.08897278799,92,0,12.2204539450019
35.6,173.8,173.8,7560,791.681348704628,137.594218404865,149.558933048766,420.109362496533,92,0,11.9647146439012
35.7,169.85,169.85,7570,792.728546255824,134.644943581552,146.353199545165,411.104493104396,92,0,11.7082559636132
35.8,165.9,165.9,7580,793.775743807021,131.687395897585,143.138473801723,402.074364611581,92,0,11.4510779041378
35.9,161.95,161.95,7590,794.822941358218,128.721575352963,139.914755818438,393.018977018086,92,0,11.1931804654751
36,158,158,7600,795.870138909414,125.747481947687,136.682045595312,383.938330323911,92,0,10.934563647625
36.1,154.05,154.05,7610,796.917336460611,122.765115681757,133.440343132345,374.832424529059,92,0,10.6752274505876
36.2,150.1,150.1,7620,797.964534011807,119.774476555172,130.189648429535,365.701259633525,92,0,10.4151718743628
36.3,146.15,146.15,7630,799.011731563004,116.775564567933,126.929961486884,356.544835637314,92,0,10.1543969189507
36.4,142.2,142.2,7640,800.058929114201,113.768379720039,123.661282304391,347.363152540423,92,0,9.89290258435125
36.5,138.25,138.25,7650,801.106126665397,110.752922011491,120.383610882056,338.156210342853,92,0,9.63068887056444
36.6,134.3,134.3,7660,802.153324216594,107.729191442289,117.096947219879,328.924009044604,92,0,9.36775577759033
36.7,130.35,130.35,7670,803.20052176779,104.697188012431,113.80129131786,319.666548645675,92,0,9.10410330542881
36.8,126.4,126.4,7680,804.247719318987,101.65691172192,110.496643176,310.383829146068,92,0,8.83973145408
36.9,122.45,122.45,7690,805.294916870184,98.608362570754,107.183002794298,301.07585054578,92,0,8.57464022354383
37,118.5,118.5,7700,806.34211442138,95.5515405589336,103.860370172754,291.742612844814,92,0,8.3088296138203
37.1,114.55,114.55,7710,807.389311972577,92.4864456864589,100.528745311368,282.384116043169,92,0,8.04229962490946
37.2,110.6,110.6,7720,808.436509523773,89.4130779533293,97.1881282101405,273.000360140844,92,0,7.77505025681124
37.3,106.65,106.65,7730,809.48370707497,86.3314373595456,93.8385188690713,263.591345137841,92,0,7.5070815095257
37.4,102.7,102.7,7740,810.530904626167,83.2415239051073,90.4799172881602,254.157071034158,92,0,7.23839338305281
37.5,98.75,98.75,7750,811.578102177363,80.1433375900146,87.1123234674072,244.697537829795,92,0,6.96898587739257
37.6,94.8000000000002,94.8000000000002,7760,812.62529972856,77.0368784142676,83.7357374068126,235.212745524755,92,0,6.69885899254501
37.7,90.8499999999999,90.8499999999999,7770,813.672497279756,73.9221463778658,80.3501591063759,225.702694119033,92,0,6.42801272851006
37.8,86.9000000000001,86.9000000000001,7780,814.719694830953,70.7991414808099,76.9555885660977,216.167383612634,92,0,6.15644708528782
37.9,82.95,82.95,7790,815.76689238215,67.6678637230993,73.5520257859775,206.606814005555,92,0,5.8841620628782
38,79,79,7800,816.814089933346,64.5283131047344,70.1394707660156,197.020985297797,92,0,5.61115766128124
38.1,75.0500000000002,75.0500000000002,7810,817.861287484543,61.3804896257151,66.7179235062121,187.40989748936,92,0,5.33743388049696
38.2,71.0999999999999,71.0999999999999,7820,818.908485035739,58.224393286041,63.2873840065663,177.773550580242,92,0,5.0629907205253
38.3,67.1500000000001,67.1500000000001,7830,819.955682586936,55.0600240857128,59.8478522670792,168.111944570447,92,0,4.78782818136633
38.4,63.2,63.2,7840,821.002880138133,51.88738202473,56.39932828775,158.425079459972,92,0,4.51194626302
38.5,59.25,59.25,7850,822.050077689329,48.7064671030928,52.9418120685791,148.712955248818,92,0,4.23534496548632
38.6,55.3000000000002,55.3000000000002,7860,823.097275240526,45.5172793208013,49.4753036095666,138.975571936985,92,0,3.95802428876532
38.7,51.3499999999999,51.3499999999999,7870,824.144472791722,42.3198186778549,45.9998029107118,129.212929524471,92,0,3.67998423285694
38.8,47.4000000000001,47.4000000000001,7880,825.191670342919,39.1140851742544,42.5153099720157,119.42502801128,92,0,3.40122479776125
38.9,43.45,43.45,7890,826.238867894116,35.9000788099994,39.0218247934776,109.611867397409,92,0,3.12174598347821
39,39.5,39.5,7900,827.286065445312,32.6777995850898,35.5193473750976,99.7734476828585,92,0,2.84154779000781
39.1,35.5500000000002,35.5500000000002,7910,828.333262996509,29.4472474995261,32.0078777168762,89.9097688676297,92,0,2.56063021735009
39.2,31.5999999999999,31.5999999999999,7920,829.380460547705,26.2084225533074,28.4874158188124,80.0208309517203,92,0,2.27899326550499
39.3,27.6500000000001,27.6500000000001,7930,830.427658098902,22.9613247464347,24.9579616809073,70.1066339351329,92,0,1.99663693447258
39.4,23.7,23.7,7940,831.474855650099,19.7059540789074,21.4195153031602,60.1671778178657,92,0,1.71356122425282
39.5,19.75,19.75,7950,832.522053201295,16.4423105507256,17.8720766855713,50.2024625999193,92,0,1.4297661348457
39.6,15.8000000000002,15.8000000000002,7960,833.569250752492,13.1703941618896,14.3156458281408,40.2124882812945,92,0,1.14525166625127
39.7,11.8499999999999,11.8499999999999,7970,834.616448303688,9.89020491239863,10.7502227308681,30.197254861989,92,0,0.860017818469445
39.8,7.90000000000009,7.90000000000009,7980,835.663645854885,6.60174280225367,7.17580739375399,20.1567623420056,92,0,0.574064591500319
39.9,3.95000000000005,3.95000000000005,7990,836.710843406081,3.30500783145406,3.59239981679789,10.0910107213424,92,0,0.287391985343831
40,0,0,8000,837.758040957278,0,0,0,NaN,-0,0
40.1,0,0,8000,837.758040957278,0,0,0,NaN,-0,0
40.2,0,0,8000,837.758040957278,0,0,0,NaN,-0,0
40.3,0,0,8000,837.758040957278,0,0,0,NaN,-0,0
40.4,0,0,8000,837.758040957278,0,0,0,NaN,-0,0
40.5,0,0,8000,837.758040957278,0,0,0,NaN,-0,0
40.6,0,0,8000,837.758040957278,0,0,0,NaN,-0,0
40.7,0,0,8000,837.758040957278,0,0,0,NaN,-0,0
